"name","rxcui","source"
"Iothalamate","5970","ndf-rt"
"Ioxaglate","5973","ndf-rt"
"Ipecac Syrup","5975","ndf-rt"
"Ipratropium","7213","ndf-rt"
"Irbesartan","83818","ndf-rt"
"Irinotecan","51499","ndf-rt"
"Iron (As Ferrous Fumarate)","24941","ndf-rt"
"Iron (As Ferrous Gluconate)","24942","ndf-rt"
"Iron (As Ferrous Sulfate)","24947","ndf-rt"
"Iron Dextran Complex","5992","ndf-rt"
"Iron Sucrose","24909","ndf-rt"
"Isocarboxazid","6011","ndf-rt"
"Isoflurane","6026","ndf-rt"
"Isoniazid","6038","ndf-rt"
"Isopropamide","89784","ndf-rt"
"Isoproterenol","6054","ndf-rt"
"Isosorbide","6057","ndf-rt"
"Isosorbide Dinitrate","6058","ndf-rt"
"Isosorbide Mononitrate","28004","ndf-rt"
"Isotretinoin","6064","ndf-rt"
"Isradipine","33910","ndf-rt"
"Itraconazole","28031","ndf-rt"
"Ivacaftor","1243041","ndf-rt"
"Ixabepilone","337523","ndf-rt"
"Kanamycin","6099","ndf-rt"
"Kaolin","6102","ndf-rt"
"Ketamine","6130","ndf-rt"
"Ketoconazole","6135","ndf-rt"
"Ketoprofen","6142","ndf-rt"
"Ketorolac Tromethamine","28200","ndf-rt"
"Krill Oil","880350","ndf-rt"
"Labetalol","6185","ndf-rt"
"Lactase","41397","ndf-rt"
"Lamivudine","68244","ndf-rt"
"Lamotrigine","28439","ndf-rt"
"Lansoprazole","17128","ndf-rt"
"Lanthanum","1311070","ndf-rt"
"Lapatinib","480167","ndf-rt"
"Leflunomide","27169","ndf-rt"
"Lenalidomide","342369","ndf-rt"
"Lepirudin","237057","ndf-rt"
"Letrozole","72965","ndf-rt"
"Leucovorin","6313","ndf-rt"
"Leuprolide","42375","ndf-rt"
"Levalbuterol","237159","ndf-rt"
"Levamisole","6371","ndf-rt"
"Levobunolol","1813","ndf-rt"
"Levodopa","6375","ndf-rt"
"Levofloxacin","82122","ndf-rt"
"Levoleucovorin","877015","ndf-rt"
