"name_a","name_b","severity","rxcui_a","rxcui_b","sources"
"Digitoxin","Rifampin","moderate","3403","9384","ndf-rt+openfda"
"Digitoxin","Oxytetracycline","reported","3403","7821","ndf-rt"
"Digitoxin","Polythiazide","reported","3403","8565","ndf-rt"
"Digitoxin","Indapamide","reported","3403","5764","ndf-rt"
"Digitoxin","Cyclosporine","reported","3403","3008","ndf-rt"
"Digitoxin","Cholestyramine","reported","3403","2447","ndf-rt"
"Digitoxin","Ketoconazole","reported","3403","6135","ndf-rt"
"Digitoxin","Amiodarone","reported","3403","703","ndf-rt"
"Digitoxin","Colestipol","moderate","3403","2685","ndf-rt+openfda"
"Digitoxin","Demeclocycline","reported","3403","3154","ndf-rt"
"Digitoxin","Flecainide","reported","3403","4441","ndf-rt"
"Digitoxin","Hydroxychloroquine","reported","3403","5521","ndf-rt"
"Digitoxin","Minocycline","reported","3403","6980","ndf-rt"
"Digitoxin","Propafenone","reported","3403","8754","ndf-rt"
"Digitoxin","Quinidine","reported","3403","9068","ndf-rt"
"Digitoxin","Verapamil","moderate","3403","11170","ndf-rt+openfda"
"Digitoxin","Azithromycin","reported","3403","18631","ndf-rt"
"Digitoxin","Clarithromycin","reported","3403","21212","ndf-rt"
"Digitoxin","Itraconazole","reported","3403","28031","ndf-rt"
"Digitoxin","Rifabutin","reported","3403","55672","ndf-rt"
"Digitoxin","Nefazodone","reported","3403","31565","ndf-rt"
"Digitoxin","Saquinavir","reported","3403","83395","ndf-rt"
"Digitoxin","Acarbose","reported","3403","16681","ndf-rt"
"Digitoxin","Carvedilol","reported","3403","20352","ndf-rt"
"Digitoxin","Rifapentine","reported","3403","35617","ndf-rt"
"Digitoxin","Telmisartan","reported","3403","73494","ndf-rt"
"Digitoxin","Rabeprazole","reported","3403","114979","ndf-rt"
"Digitoxin","Telithromycin","reported","3403","274786","ndf-rt"
"Digitoxin","Epoprostenol","reported","3403","8814","ndf-rt"
"Digitoxin","Mibefradil","reported","3403","83213","ndf-rt"
"Digitoxin","St. John's Wort","reported","3403","258326","ndf-rt"
"Digitoxin","Darifenacin","reported","3403","136198","ndf-rt"
"Digitoxin","Ranolazine","reported","3403","35829","ndf-rt"
"Digitoxin","Conivaptan","reported","3403","302285","ndf-rt"
"Digitoxin","Dronedarone","reported","3403","233698","ndf-rt"
"Digitoxin","Fingolimod","reported","3403","1012892","ndf-rt"
"Digitoxin","Boceprevir","reported","3403","1102129","ndf-rt"
"Digitoxin","Telaprevir","reported","3403","1102261","ndf-rt"
"Propylthiouracil","Phenprocoumon","reported","8794","8150","ndf-rt"
"Propylthiouracil","Dicumarol","reported","8794","1598","ndf-rt"
"Propylthiouracil","Anisindione","reported","8794","17941","ndf-rt"
"Propylthiouracil","Warfarin","moderate","8794","11289","ndf-rt+openfda"
"Methyltestosterone","Cyclosporine","reported","6904","3008","ndf-rt"
"Methyltestosterone","Warfarin","reported","6904","11289","ndf-rt"
"Methimazole","Phenprocoumon","reported","6835","8150","ndf-rt"
"Methimazole","Dicumarol","reported","6835","1598","ndf-rt"
"Methimazole","Anisindione","reported","6835","17941","ndf-rt"
"Methimazole","Clozapine","reported","6835","2626","ndf-rt"
"Methimazole","Warfarin","moderate","6835","11289","ndf-rt+openfda"
"Methimazole","Clozapine (Fazaclo)","reported","6835","542974","ndf-rt"
"Methimazole","Deferiprone","reported","6835","11645","ndf-rt"
"Cyanocobalamin","Omeprazole","reported","11248","7646","ndf-rt"
"Cyanocobalamin","Lansoprazole","reported","11248","17128","ndf-rt"
"Cyanocobalamin","Rabeprazole","reported","11248","114979","ndf-rt"
"Cyanocobalamin","Pantoprazole","reported","11248","40790","ndf-rt"
"Cyanocobalamin","Esomeprazole","reported","11248","283742","ndf-rt"
"Sodium Acetate","Pseudoephedrine","reported","56443","8896","ndf-rt"
"Sodium Acetate","Ephedrine","reported","56443","3966","ndf-rt"
"Potassium Chloride","Captopril","moderate","8591","1998","ndf-rt+openfda"
"Potassium Chloride","Metronidazole","reported","8591","6922","ndf-rt"
"Potassium Chloride","Spironolactone","severe","8591","9997","ndf-rt+openfda"
"Potassium Chloride","Triamterene","severe","8591","10763","ndf-rt+openfda"
"Potassium Chloride","Sodium Polystyrene Sulfonate","reported","8591","56512","ndf-rt"
"Potassium Chloride","Hyoscyamine","severe","8591","153970","ndf-rt+openfda"
"Potassium Chloride","Scopolamine","reported","8591","9601","ndf-rt"
"Potassium Chloride","Glycopyrrolate","severe","8591","4955","ndf-rt+openfda"
"Potassium Chloride","Belladonna Extract","reported","8591","89781","ndf-rt"
"Potassium Chloride","Disulfiram","reported","8591","3554","ndf-rt"
"Potassium Chloride","Tropicamide","reported","8591","10869","ndf-rt"
"Potassium Chloride","Hexocyclium Methylsulfate","reported","8591","235430","ndf-rt"
"Potassium Chloride","Oxybutynin Chloride","reported","8591","54251","ndf-rt"
"Potassium Chloride","Clidinium Bromide","reported","8591","48212","ndf-rt"
"Potassium Chloride","Lisinopril","reported","8591","29046","ndf-rt"
"Potassium Chloride","Enalaprilat","reported","8591","3829","ndf-rt"
"Potassium Chloride","Levamisole","reported","8591","6371","ndf-rt"
"Potassium Chloride","Ramipril","reported","8591","35296","ndf-rt"
"Potassium Chloride","Atropine","reported","8591","1223","ndf-rt"
"Potassium Chloride","Amiloride","severe","8591","644","ndf-rt+openfda"
"Potassium Chloride","Anisotropine","reported","8591","89780","ndf-rt"
"Potassium Chloride","Benztropine","reported","8591","1424","ndf-rt"
"Potassium Chloride","Biperiden","reported","8591","1589","ndf-rt"
"Potassium Chloride","Cefotetan","reported","8591","2187","ndf-rt"
"Potassium Chloride","Dicyclomine","reported","8591","3361","ndf-rt"
"Potassium Chloride","Enalapril","moderate","8591","3827","ndf-rt+openfda"
"Potassium Chloride","Flavoxate","reported","8591","4440","ndf-rt"
"Potassium Chloride","Homatropine","reported","8591","27084","ndf-rt"
"Potassium Chloride","Mepenzolate","reported","8591","107770","ndf-rt"
"Potassium Chloride","Methantheline","reported","8591","6821","ndf-rt"
"Potassium Chloride","Methotrexate","severe","8591","6851","ndf-rt+openfda"
"Potassium Chloride","Methscopolamine","reported","8591","89785","ndf-rt"
"Potassium Chloride","Oxyphencyclimine","reported","8591","32698","ndf-rt"
"Potassium Chloride","Oxyphenonium","reported","8591","7818","ndf-rt"
