name_a,name_b,severity,sources
Silodosin,Cyclosporine,moderate,openfda(new)
Cyclosporine,Sirolimus,moderate,openfda(new)
Cyclosporine,Sulindac,moderate,openfda(new)
Tigecycline,Cyclosporine,moderate,openfda(new)
Cyclosporine,Tobramycin,moderate,openfda(new)
Valganciclovir,Cyclosporine,moderate,openfda(new)
Valsartan,Cyclosporine,moderate,openfda(new)
Cyclosporine,Vancomycin,moderate,openfda(new)
Glimepiride,Danazol,moderate,openfda(new)
Ganciclovir,Dapsone,moderate,openfda(new)
Methotrexate,Dapsone,severe,openfda(new)
Dapsone,Nitroglycerin,moderate,openfda(new)
Dapsone,Phenobarbital,moderate,openfda(new)
Dapsone,Phenytoin,moderate,openfda(new)
Dapsone,Primaquine,moderate,openfda(new)
Dapsone,Quinine,moderate,openfda(new)
Darunavir,Desipramine,moderate,openfda(new)
Darunavir,Diazepam,moderate,openfda(new)
Darunavir,Disopyramide,moderate,openfda(new)
Darunavir,Efavirenz,severe,openfda(new)
Darunavir,Estazolam,moderate,openfda(new)
Darunavir,Etravirine,severe,openfda(new)
Darunavir,Flecainide,moderate,openfda(new)
Darunavir,Imipramine,moderate,openfda(new)
Darunavir,Lidocaine,moderate,openfda(new)
Darunavir,Methadone,moderate,openfda(new)
Darunavir,Mexiletine,moderate,openfda(new)
Darunavir,Naloxone,moderate,openfda(new)
Darunavir,Nevirapine,severe,openfda(new)
Darunavir,Nortriptyline,moderate,openfda(new)
Darunavir,Omeprazole,moderate,openfda(new)
Darunavir,Oxcarbazepine,severe,openfda(new)
Darunavir,Posaconazole,moderate,openfda(new)
Darunavir,Prasugrel,severe,openfda(new)
Darunavir,Propafenone,moderate,openfda(new)
Darunavir,Quinidine,moderate,openfda(new)
Darunavir,Rivaroxaban,severe,openfda(new)
Darunavir,Salmeterol,severe,openfda(new)
Tenofovir,Darunavir,moderate,openfda(new)
Darunavir,Ticagrelor,severe,openfda(new)
Darunavir,Voriconazole,severe,openfda(new)
Darunavir,Zolpidem,moderate,openfda(new)
Fosamprenavir,Dasatinib,moderate,openfda(new)
Famotidine,Delavirdine,severe,openfda(new)
Rilpivirine,Delavirdine,severe,openfda(new)
Voriconazole,Delavirdine,moderate,openfda(new)
Vasopressin,Demeclocycline,moderate,openfda(new)
Haloperidol,Desipramine,moderate,openfda(new)
Desvenlafaxine,Venlafaxine,severe,openfda(new)
Dexamethasone,Ephedrine,moderate,openfda(new)
Itraconazole,Dexamethasone,moderate,openfda(new)
Paclitaxel,Dexamethasone,severe,openfda(new)
Pegaspargase,Dexamethasone,moderate,openfda(new)
Dexamethasone,Varicella,severe,openfda(new)
Dexlansoprazole,Rifampin,severe,openfda(new)
Dexlansoprazole,Saquinavir,moderate,openfda(new)
Dexmethylphenidate,Methylphenidate,severe,openfda(new)
Dexmethylphenidate,Potassium,moderate,openfda(new)
Lisdexamfetamine,Dextroamphetamine,moderate,openfda(new)
Memantine,Dextromethorphan,moderate,openfda(new)
Olanzapine,Diazepam,moderate,openfda(new)
Diclofenac,Digoxin,moderate,openfda(new)
Diclofenac,Hyaluronate Sodium,severe,openfda(new)
Diclofenac,Indomethacin,severe,openfda(new)
Dicloxacillin,Dicumarol,moderate,openfda(new)
Rilpivirine,Didanosine,moderate,openfda(new)
Digoxin,Digitalis,severe,openfda(new)
Ephedrine,Digitalis,moderate,openfda(new)
Epinephrine,Digitalis,severe,openfda(new)
Levothyroxine,Digitalis,moderate,openfda(new)
Lidocaine,Digitalis,severe,openfda(new)
Liothyronine,Digitalis,moderate,openfda(new)
Nifedipine,Digitalis,severe,openfda(new)
Diltiazem,Digoxin,severe,openfda(new)
Everolimus,Digoxin,moderate,openfda(new)
Fenoprofen,Digoxin,moderate,openfda(new)
Indomethacin,Digoxin,moderate,openfda(new)
Lenalidomide,Digoxin,moderate,openfda(new)
Naproxen,Digoxin,moderate,openfda(new)
Nifedipine,Digoxin,severe,openfda(new)
Phenytoin,Digoxin,moderate,openfda(new)
Piroxicam,Digoxin,moderate,openfda(new)
Potassium,Digoxin,severe,openfda(new)
Digoxin,Propantheline,moderate,openfda(new)
Risperidone,Digoxin,severe,openfda(new)
Ritonavir,Digoxin,moderate,openfda(new)
Simvastatin,Digoxin,moderate,openfda(new)
Ticagrelor,Digoxin,moderate,openfda(new)
Torsemide,Digoxin,moderate,openfda(new)
Dihydroergotamine,Epinephrine,severe,openfda(new)
Dihydroergotamine,Ergotamine,severe,openfda(new)
Diltiazem,Itraconazole,moderate,openfda(new)
Lithium,Diltiazem,moderate,openfda(new)
Posaconazole,Diltiazem,moderate,openfda(new)
Silodosin,Diltiazem,moderate,openfda(new)
Diltiazem,Verapamil,severe,openfda(new)
Paclitaxel,Diphenhydramine,severe,openfda(new)
Heparin,Dipyridamole,moderate,openfda(new)
Glimepiride,Disopyramide,moderate,openfda(new)
Glipizide,Disopyramide,moderate,openfda(new)
Phenytoin,Disopyramide,moderate,openfda(new)
Sertraline,Disulfiram,severe,openfda(new)
Tinidazole,Disulfiram,severe,openfda(new)
Propranolol,Dobutamine,moderate,openfda(new)
Lamotrigine,Dofetilide,severe,openfda(new)
Esmolol,Dopamine,severe,openfda(new)
Levodopa,Dopamine,moderate,openfda(new)
Doxepin,Tolazamide,moderate,openfda(new)
Ganciclovir,Doxorubicin,moderate,openfda(new)
Duloxetine,Famotidine,moderate,openfda(new)
Duloxetine,Theophylline,moderate,openfda(new)
Efavirenz,Lopinavir,severe,openfda(new)
Mifepristone,Efavirenz,moderate,openfda(new)
Efavirenz,Praziquantel,severe,openfda(new)
Rilpivirine,Efavirenz,severe,openfda(new)
Eletriptan,Methysergide,severe,openfda(new)
Paclitaxel,Eletriptan,moderate,openfda(new)
Eltrombopag,Lopinavir,moderate,openfda(new)
Eltrombopag,Ritonavir,moderate,openfda(new)
Eltrombopag,Telaprevir,moderate,openfda(new)
Tamsulosin,Enalapril,moderate,openfda(new)
Enalapril,Valsartan,moderate,openfda(new)
Vasopressin,Enalapril,moderate,openfda(new)
Enoxaparin,Heparin,severe,openfda(new)
Ephedrine,Theophylline,moderate,openfda(new)
Esmolol,Epinephrine,severe,openfda(new)
Epinephrine,Halothane,severe,openfda(new)
Levalbuterol,Epinephrine,severe,openfda(new)
Milnacipran,Epinephrine,moderate,openfda(new)
Epinephrine,Potassium,severe,openfda(new)
Promethazine,Epinephrine,severe,openfda(new)
Epinephrine,Quinidine,severe,openfda(new)
Epinephrine,Theophylline,severe,openfda(new)
Spironolactone,Eplerenone,severe,openfda(new)
Itraconazole,Erlotinib,severe,openfda(new)
Ketoconazole,Erlotinib,severe,openfda(new)
Ertapenem,Lidocaine,severe,openfda(new)
Ertapenem,Probenecid,severe,openfda(new)
Estrogens,Erythromycin,moderate,openfda(new)
Mifepristone,Erythromycin,moderate,openfda(new)
Mirtazapine,Erythromycin,moderate,openfda(new)
Praziquantel,Erythromycin,moderate,openfda(new)
Rilpivirine,Erythromycin,moderate,openfda(new)
Risperidone,Erythromycin,severe,openfda(new)
Silodosin,Erythromycin,moderate,openfda(new)
Tamsulosin,Erythromycin,moderate,openfda(new)
Escitalopram,Tryptophan,severe,openfda(new)
Esmolol,Norepinephrine,severe,openfda(new)
Esomeprazole,Rifampin,severe,openfda(new)
Esomeprazole,Saquinavir,moderate,openfda(new)
Esomeprazole,Tacrolimus,moderate,openfda(new)
Griseofulvin,Estrogens,moderate,openfda(new)
Estrogens,Itraconazole,moderate,openfda(new)
Estrogens,Ketoconazole,moderate,openfda(new)
Raloxifene,Estrogens,severe,openfda(new)
Somatropin,Estrogens,moderate,openfda(new)
Eszopiclone,Rifampicin,moderate,openfda(new)
Furosemide,Ethacrynic Acid,severe,openfda(new)
Ethinyl Estradiol,Potassium,moderate,openfda(new)
Ethinyl Estradiol,Prednisolone,moderate,openfda(new)
Rilpivirine,Ethinyl Estradiol,moderate,openfda(new)
Roflumilast,Ethinyl Estradiol,moderate,openfda(new)
Tacrolimus,Ethinyl Estradiol,moderate,openfda(new)
Ethinyl Estradiol,Theophylline,moderate,openfda(new)
Voriconazole,Ethinyl Estradiol,severe,openfda(new)
Etonogestrel,Fluconazole,moderate,openfda(new)
Etonogestrel,Itraconazole,moderate,openfda(new)
Etonogestrel,Ketoconazole,moderate,openfda(new)
Etonogestrel,Voriconazole,moderate,openfda(new)
Pentostatin,Etoposide,severe,openfda(new)
Etravirine,Methadone,moderate,openfda(new)
Etravirine,Naloxone,moderate,openfda(new)
Etravirine,Posaconazole,moderate,openfda(new)
Etravirine,Sildenafil,moderate,openfda(new)
Etravirine,Tadalafil,moderate,openfda(new)
Etravirine,Vardenafil,moderate,openfda(new)
Everolimus,Lovastatin,moderate,openfda(new)
Everolimus,Simvastatin,moderate,openfda(new)
Everolimus,Sirolimus,severe,openfda(new)
Everolimus,Tacrolimus,moderate,openfda(new)
Ezetimibe,Fenofibrate,severe,openfda(new)
Simvastatin,Ezetimibe,severe,openfda(new)
Ezetimibe,Warfarin,moderate,openfda(new)
Famotidine,Fosamprenavir,severe,openfda(new)
Vasopressin,Felbamate,moderate,openfda(new)
Paclitaxel,Felodipine,moderate,openfda(new)
Posaconazole,Felodipine,moderate,openfda(new)
Fenofibrate,Fenofibric Acid,severe,openfda(new)
Paroxetine,Fentanyl,moderate,openfda(new)
Fentanyl,Pentazocine,moderate,openfda(new)
Venlafaxine,Fentanyl,severe,openfda(new)
Tolterodine,Fesoterodine,severe,openfda(new)
Ifosfamide,Fluconazole,moderate,openfda(new)
Fluconazole,Losartan,severe,openfda(new)
Nevirapine,Fluconazole,moderate,openfda(new)
Norethindrone,Fluconazole,moderate,openfda(new)
Fluconazole,Terfenadine,severe,openfda(new)
Ganciclovir,Flucytosine,moderate,openfda(new)
Fludarabine,Pentostatin,severe,openfda(new)
Leucovorin,Fluorouracil,moderate,openfda(new)
Levoleucovorin,Fluorouracil,moderate,openfda(new)
Oxaliplatin,Fluorouracil,moderate,openfda(new)
Glimepiride,Fluoxetine,moderate,openfda(new)
Glipizide,Fluoxetine,moderate,openfda(new)
Fluoxetine,Haloperidol,moderate,openfda(new)
Fluoxetine,Lithium,moderate,openfda(new)
Nebivolol,Fluoxetine,moderate,openfda(new)
Fluoxetine,Olanzapine,severe,openfda(new)
Fluticasone,Indinavir,severe,openfda(new)
Fluticasone,Itraconazole,severe,openfda(new)
Fluticasone,Ketoconazole,severe,openfda(new)
Fluticasone,Lopinavir,severe,openfda(new)
Fluticasone,Nefazodone,severe,openfda(new)
Fluticasone,Nelfinavir,severe,openfda(new)
Fluticasone,Telithromycin,severe,openfda(new)
Fluticasone,Voriconazole,severe,openfda(new)
Fluvastatin,Glyburide,moderate,openfda(new)
Fluvoxamine,Lithium,moderate,openfda(new)
Olanzapine,Fluvoxamine,moderate,openfda(new)
Pentoxifylline,Fluvoxamine,moderate,openfda(new)
Mifepristone,Fosamprenavir,moderate,openfda(new)
Fosamprenavir,Nilotinib,moderate,openfda(new)
Fosamprenavir,Nizatidine,moderate,openfda(new)
Paroxetine,Fosamprenavir,moderate,openfda(new)
Phenytoin,Fosamprenavir,moderate,openfda(new)
Fosamprenavir,Quetiapine,severe,openfda(new)
Fosamprenavir,Ranitidine,moderate,openfda(new)
Fosamprenavir,Vinblastine,moderate,openfda(new)
Vasopressin,Foscarnet,moderate,openfda(new)
Frovatriptan,Methysergide,severe,openfda(new)
Furosemide,Indomethacin,moderate,openfda(new)
Furosemide,Methotrexate,moderate,openfda(new)
Furosemide,Norepinephrine,moderate,openfda(new)
Furosemide,Sucralfate,moderate,openfda(new)
Gabapentin,Morphine,moderate,openfda(new)
Ganciclovir,Hydroxyurea,moderate,openfda(new)
Ganciclovir,Mycophenolate,moderate,openfda(new)
Ganciclovir,Mycophenolate Mofetil,moderate,openfda(new)
Mycophenolic Acid,Ganciclovir,moderate,openfda(new)
Ganciclovir,Pentamidine,moderate,openfda(new)
Ganciclovir,Sulfamethoxazole,moderate,openfda(new)
Ganciclovir,Tacrolimus,moderate,openfda(new)
Ganciclovir,Trimethoprim,moderate,openfda(new)
Ganciclovir,Vinblastine,moderate,openfda(new)
Ganciclovir,Vincristine,moderate,openfda(new)
Irinotecan,Gemfibrozil,moderate,openfda(new)
Paclitaxel,Gemfibrozil,moderate,openfda(new)
